ElevationDeg,GaseousLossDb,CloudLossDb,RainLossDb,ScintillationLossDb,TotalAtmosphericLossDb
5,0.393787809356158,0.0333261496302737,0.000372732761877008,0.400196151297505,0.795400277025945
6,0.328339936668999,0.0277873148915308,0.000296669088826817,0.321083462060092,0.65064925978067
7,0.281620201196222,0.0238334370465101,0.000245140773289531,0.266524789101937,0.549230442247749
8,0.246605621148423,0.0208701631558784,0.000208039271087469,0.226824763015727,0.474407648651895
9,0.219394549663865,0.0185672979621155,0.000180133022506481,0.196758536493173,0.417044209039889
10,0.197646007407224,0.0167267250539033,0.000158440229878366,0.173272762897768,0.371739543096769
11,0.179870288304175,0.0152223710324254,0.000141135859235736,0.154469126771342,0.335101562438968
12,0.16507426241602,0.0139701875951364,0.000127040524841811,0.139108230611995,0.304894974989896
13,0.152570385186751,0.0129119880429905,0.000115358798088663,0.126348123609048,0.279588337088224
14,0.141867559876446,0.0120062109994069,0.000105535321689521,0.115597747215864,0.258098078933745
15,0.13260565502749,0.0112223786421729,9.7171064644381e-05,0.106430535253352,0.239636449847859
16,0.124514577886879,0.0105376330988841,8.99722736986245e-05,0.0985312792301093,0.223617347690135
17,0.117387792508705,0.00993449529153504,8.37181401341794e-05,0.0916622570912487,0.20959589397178
18,0.111064665161314,0.00939937083337828,7.82396471637873e-05,0.0856409643407636,0.19722846193024
19,0.105418384874389,0.00892152774828083,7.34053420893956e-05,0.0803250744766691,0.186245523948977
20,0.100347507827131,0.00849238087471474,6.91115321029491e-05,0.075602039292761,0.176432772481046
21,0.0957699176306243,0.00810498072618222,6.52753830189489e-05,0.0713817457614611,0.167617720052437
22,0.0916184328109354,0.00775364175376718,6.18299686332545e-05,0.0675912336172581,0.159660011717854
23,0.0878375601711275,0.00743366758409124,5.87206586778786e-05,0.0641708312615012,0.152444304914787
24,0.0843810598176497,0.00714114494819391,5.59024428607433e-05,0.0610712861804398,0.145874957782263
25,0.0812100945852334,0.00687278706789112,5.33379207490467e-05,0.0582516045317172,0.139872012708304
26,0.078291806522391,0.00662581318415018,5.09957726448196e-05,0.0556774042122582,0.134368121644381
27,0.0755982097182627,0.00639785485734271,4.88495828505144e-05,0.0533196449405796,0.12930616569062
28,0.0731053203856389,0.00618688234641971,4.68769244613163e-05,0.0511536387169061,0.124637393006746
29,0.0707924669315974,0.00599114622038701,4.50586405682824e-05,0.0491582712613646,0.120319948217539
30,0.0686417380188183,0.0058091306478922,4.33782745946983e-05,0.0473153839415485,0.11631770070678
31,0.0666375374585712,0.00563951572794565,4.1821615023031e-05,0.0456092790166913,0.112599303377942
32,0.0647662225661329,0.00548114688404283,4.03763286943208e-05,0.0440263205245477,0.109137430770542
33,0.0630158082746717,0.0053330098234071,3.9031663293428e-05,0.0425546099952384,0.10590815796062
34,0.0613757234692886,0.00519420991560929,3.77782043212702e-05,0.041183721183754,0.102890450858834
35,0.0598366090973858,0.00506395510670599,3.66076753080987e-05,0.0399044817074189,0.10006574531768
36,0.0583901499323967,0.00494154168145211,3.55127725904197e-05,0.0387087922274072,0.0974175975397293
37,0.0570289336242409,0.00482634233478127,3.44870279026287e-05,0.0375894758833433,0.09493139211017
38,0.0557463320102251,0.00471779612718128,3.35246934948988e-05,0.0365401522599779,0.0925940968911966
39,0.0545364006911563,0.00461539998584931,3.26206456040085e-05,0.0355551313653535,0.0903940562502969
40,0.0533937936764929,0.00451870148113548,3.1770302961826e-05,0.0346293240247892,0.08832081582084
41,0.0523136905260178,0.00442729266056352,3.09695576911941e-05,0.0337581658128109,0.0863649733366837
42,0.0512917339055369,0.00434080476418735,3.02147164579473e-05,0.0329375522060287,0.0845180511348816
43,0.0503239758615607,0.00425890367783278,2.95024501554557e-05,0.0321637830810657,0.0827723867502994
44,0.0494068314281328,0.00418128600685673,2.88297507203024e-05,0.0314335150306811,0.0811210386841286
45,0.0485370384255368,0.00410767567392318,2.81938939338615e-05,0.0307437202490359,0.0795577049534067
46,0.0477116225089332,0.00403782096107944,2.75924072693396e-05,0.0300916509593908,0.0780766524499255
47,0.0469278666853329,0.00397149192998624,2.70230420084515e-05,0.029474808536413,0.07667265547664
48,0.0461832846475941,0.00390847816518162,2.64837489848656e-05,0.0288909166199246,0.0753409421050336
49,0.0454755973804896,0.00384858679425898,2.59726574195019e-05,0.0283378976344634,0.0740771472211174
50,0.044802712581101,0.00379164074622101,2.54880564007841e-05,0.0278138522249704,0.0728772713111736
51,0.0441627065076236,0.00373747721534923,2.50283786350591e-05,0.0273170411975783,0.0717376441890573
52,0.0435538079300602,0.00368594630295579,2.45921861517078e-05,0.0268458696192385,0.0706548929912215
53,0.0429743839055901,0.003636909813557,2.41781576964655e-05,0.0263988727834622,0.0696259138686275
54,0.0424229271424955,0.00359024018548608,2.37850775870936e-05,0.0259747037938795,0.0686478468903596
55,0.0418980447508972,0.00354581953887109,2.34118258393566e-05,0.0255721225543271,0.067718053745248
56,0.0413984482074007,0.00350353882634585,2.30573693995003e-05,0.025189985985111,0.0668340978876808
57,0.0409229443850503,0.00346329707391748,2.27207543431023e-05,0.0248272393110421,0.0659937268241108
58,0.0404704275205147,0.00342500070115167,2.24010989200751e-05,0.0244829082886797,0.0651948562791947
59,0.0400398720078293,0.00338856291130909,2.20975873424011e-05,0.0241560922586594,0.0644355560163978
60,0.0396303259228085,0.00335390314331827,2.18094642253962e-05,0.0238459579245981,0.0637140371183537
61,0.0392409051948553,0.00332094657853756,2.15360296053671e-05,0.0235517337733355,0.0630286405581851
62,0.0388707883536784,0.00328962369617126,2.12766344668052e-05,0.0232727050625727,0.062377826915116
63,0.0385192117876719,0.00325986987198766,2.10306767210288e-05,0.0230082093116226,0.0617601671066331
64,0.0381854654586634,0.00323162501565938,2.07975975857005e-05,0.0227576322392609,0.0611743340257024
65,0.0378688890245861,0.00320483324262627,2.05768783210895e-05,0.022520404099768,0.0606190949855254
66,0.0375688683275531,0.00317944257688207,2.03680372844999e-05,0.0222959963743721,0.0600933048863784
67,0.0372848322099394,0.00315540468152042,2.01706272690702e-05,0.0220839187805838,0.0595959000295041
68,0.0370162496255341,0.00313267461425244,1.99842330972939e-05,0.0218837165664878,0.05912589251207
69,0.0367626270167008,0.00311121060543658,1.98084694431966e-05,0.0216949680610187,0.0586823651450609
70,0.0365235059318706,0.00309097385644774,1.96429788602302e-05,0.0215172824547017,0.0582644668428219
71,0.0362984608606498,0.00307192835646306,1.94874299946594e-05,0.0213502977883468,0.0578714084389444
72,0.0360870972664235,0.00305404071596171,1.93415159665948e-05,0.0211936791298101,0.05750245888842
73,0.0358890497986144,0.00303728001542886,1.9204952902901e-05,0.0210471169212435,0.0571569418205833
74,0.0357039806687683,0.0030216176679243,1.90774786080383e-05,0.0209103254812742,0.0568342324113995
75,0.0355315781764159,0.0030070272943265,1.89588513604962e-05,0.0207830416483382,0.0565337545472221
76,0.0353715553722296,0.00299348461019595,1.88488488239006e-05,0.0206650235529629,0.0562549782552926
77,0.0352236488473955,0.00298096732332013,1.87472670631213e-05,0.0205560495081894,0.0559974173790532
78,0.0350876176393641,0.00296945504110739,1.86539196568274e-05,0.0204559170085593,0.0557606274788254
79,0.0349632422452561,0.00295892918709189,1.85686368989207e-05,0.0203644418291928,0.05554420394063
80,0.0348503237351988,0.00294937292589541,1.84912650821644e-05,0.0202814572174714,0.0553477802779069
81,0.034748682958765,0.00294077109606856,1.84216658581185e-05,0.0202068131707204,0.0551710266126809
82,0.0346581598385011,0.00293311015030225,1.83597156682012e-05,0.0201403757940831,0.0550136483243277
83,0.0345786127452658,0.00292637810256276,1.83053052413471e-05,0.0200820267334998,0.0548753848555595
84,0.0345099179507758,0.00292056448176089,1.8258339154315e-05,0.0200316626793602,0.0547560086665758
85,0.0344519691533716,0.00291566029161762,1.82187354512347e-05,0.0199891949369966,0.0546553243295478
86,0.0344046770735874,0.00291165797643728,1.8186425319477e-05,0.0199545490607413,0.0545731677567306
87,0.0343679691166394,0.00290855139254412,1.81613528193864e-05,0.0199276645487782,0.0545094055565387
88,0.0343417890994444,0.00290633578517987,1.81434746658426e-05,0.0199084945965044,0.0544639345129015
89,0.0343260970402505,0.0029050077707003,1.81327600600197e-05,0.0198970059065636,0.0544366811841386
90,0.0343208690094091,0.0029045653239461,1.81291905700942e-05,0.0198931785541462,0.0544276016184713
